iter	Logloss
315	0.6473356025
316	0.6472496247
317	0.6471974149
318	0.6471525259
319	0.6470804059
320	0.6470407126
321	0.6469832701
322	0.6469030606
323	0.6468482258
324	0.6467634039
325	0.6467238831
326	0.6466402555
327	0.6465102413
328	0.6464129864
329	0.6463509386
330	0.6462703166
331	0.6462001442
332	0.6461032719
333	0.6459712076
334	0.6459023765
335	0.6457465458
336	0.6456687455
337	0.6455935757
338	0.6455263089
339	0.6454537045
340	0.645386665
341	0.6452791434
342	0.6452280944
343	0.645177237
344	0.6451114334
345	0.645046309
346	0.6450050071
347	0.6449665499
348	0.6449472706
349	0.6448939088
350	0.6448097741
351	0.6447527832
352	0.6446590843
353	0.6446145961
354	0.644570595
355	0.6444925406
356	0.64440177
357	0.6443177572
358	0.6442379459
359	0.6441683208
360	0.6441285543
361	0.64406886
362	0.6439377805
363	0.6439002548
364	0.6438386555
365	0.6437970335
366	0.6437274948
367	0.6436520793
368	0.643492244
369	0.6433641764
370	0.6433078124
371	0.6432518349
372	0.6432068605
373	0.6431444932
374	0.6431025163
375	0.643020363
376	0.6429270977
377	0.6428626357
378	0.6428038205
379	0.6427483577
380	0.6426775791
381	0.6426160252
382	0.6424874272
383	0.6424008255
384	0.6423285158
385	0.6422669039
386	0.6422140591
387	0.6421391798
388	0.6420611088
389	0.6420061805
390	0.6419212686
391	0.6418569844
392	0.6417538314
393	0.6416366725
394	0.6415604278
395	0.6415154369
396	0.6413941185
397	0.6412692066
398	0.6411546792
399	0.6410928787
400	0.6410084487
401	0.6408853887
402	0.6408464568
403	0.6408010365
404	0.6407136131
405	0.6406286154
406	0.6405469473
407	0.640469536
408	0.6404096248
409	0.6403309525
410	0.6402693816
411	0.6402110879
412	0.6401609723
413	0.6400790558
414	0.6399755838
415	0.6399389684
416	0.6398670509
417	0.6385815785
418	0.638493892
419	0.6383952653
420	0.6383382714
421	0.6383050497
422	0.638199232
423	0.6381205308
424	0.6380393936
425	0.6380062687
426	0.6379003976
427	0.6378430398
428	0.637791702
429	0.6376898645
430	0.6376329661
431	0.6374846831
432	0.6374122607
433	0.6373503881
434	0.6372534891
435	0.6371821348
436	0.6370843558
437	0.6369909914
438	0.6368955468
439	0.6368351675
440	0.6367426083
441	0.636670482
442	0.636523215
443	0.6364865061
444	0.6363799741
445	0.6363613749
446	0.6363041693
447	0.6362648071
448	0.6361919222
449	0.6361301509
450	0.6360551512
451	0.635985865
452	0.6359458669
453	0.6358709801
454	0.635751766
455	0.6357136048
456	0.6356242654
457	0.6355475023
458	0.6354755426
459	0.6353869945
460	0.6353017057
461	0.635245156
462	0.6351007189
463	0.6350292485
464	0.6349827885
465	0.6348982385
466	0.6347982038
467	0.6346752346
468	0.6346609549
469	0.6346222051
470	0.6345227137
471	0.6344607122
472	0.6343713638
473	0.6343210395
474	0.6342428331
475	0.63411966
476	0.6340426309
477	0.6339425235
478	0.6338971796
479	0.6337801432
480	0.6337078712
481	0.6336204383
482	0.6335773262
483	0.6335204949
484	0.6335148247
485	0.6334473789
486	0.6333569998
487	0.6332406563
488	0.6331395963
489	0.63308326174490	0.63303388184491	0.63292968924492	0.63286869074493	0.632829936
494	0.6327327362
495	0.6326663536
496	0.6326298038
497	0.6325461056
498	0.6324904579
499	0.6324318495
500	0.6323073782
501	0.6322239949
502	0.6321312141
503	0.6320154618
504	0.6318840071
505	0.6318040996
506	0.6317442724
507	0.6317050861
508	0.6316457752
509	0.6315931214
510	0.6315124805
511	0.6314095779
512	0.6313502235
513	0.6312892626
514	0.6312226098
515	0.631176317
516	0.6311158993
517	0.631012466
518	0.6309401393
519	0.63088979
520	0.6308363896
521	0.6307522805
522	0.6306597123
523	0.6305984237
524	0.6304890725
525	0.6304544994
526	0.630386293
527	0.6303178948
528	0.6302563009
529	0.6302405823
530	0.6301750647
531	0.6300897229
532	0.6299364794
533	0.6299014222
534	0.6298087368
535	0.6297629307
536	0.6296925672
537	0.6296863679
538	0.6295753239
539	0.629483018
540	0.6293805627
541	0.6292738348
542	0.6291711786
543	0.629086198
544	0.6290220682
545	0.6289454184
546	0.628932272
547	0.6288888089
548	0.6288134125
549	0.6287716843
550	0.6285962954
551	0.6284826831
552	0.6283990657
553	0.6283082976
554	0.6282631692
555	0.6281997616
556	0.6281248236
557	0.6280301977
558	0.6279641744
559	0.6279313616
560	0.6278417224
561	0.6278259591
562	0.6277667135
563	0.6276814058
564	0.6275770884
565	0.6274851769
566	0.6274175138
567	0.6272943554
568	0.627186252
569	0.6271737588
570	0.6271079773
571	0.6270344696
572	0.626951304
573	0.6268790422
574	0.6267791885
575	0.6266948939
576	0.6266008804
577	0.6265458006
578	0.6264320099
579	0.6263550184
580	0.6263144784
581	0.626241577
582	0.6261846599
583	0.6260967354
584	0.6259692198
585	0.6258470714
586	0.6257937001
587	0.6256663511
588	0.6255813358
589	0.6255601082
590	0.6255027112
591	0.62544992
592	0.6253105722
593	0.6253021365
594	0.6252436642
595	0.6251816276
596	0.6250670428
597	0.624989556
598	0.6248922038
599	0.6248367502
600	0.6247995248
601	0.6247360066
602	0.6246444688
603	0.6245840649
604	0.6245264828
605	0.6244605119
606	0.6243934239
607	0.6243128726
608	0.6241653234
609	0.6241188651
610	0.624040375
611	0.6239862203
612	0.6239430147
613	0.623861205
614	0.6237908258
615	0.6237238145
616	0.6236242006
617	0.6235529795
618	0.6235017847
619	0.6234168111
620	0.6233251226
621	0.6232609633
622	0.6231903974
623	0.6230966745
624	0.6230236599
625	0.6229491125
626	0.6228798506
627	0.6228232085
628	0.6227921183
629	0.6226967311
630	0.6226507954
631	0.6225850124
632	0.6225494988
633	0.6224048433
634	0.6223045619
635	0.6222256534
636	0.6221659317
637	0.6221006037
638	0.6220401411
639	0.6219458005
640	0.6218416074
641	0.6217940143
642	0.6217074812
643	0.6216619207
644	0.6216282743
645	0.6215271994
646	0.6214970478
647	0.6214131808
648	0.6213173466
649	0.6212703137
650	0.6211477921
651	0.6210820483
652	0.6210667586
653	0.6210331904
654	0.6209168523
655	0.6208512167
656	0.6208028977
657	0.6207539462
658	0.6206940482
659	0.6206473509
660	0.6206058892
661	0.6205323128
662	0.6205002045
663	0.6204447967
664	0.6204076355
665	0.6203326302
666	0.6202284948
667	0.6201787892
668	0.620135513
669	0.620095187
670	0.6200384431
671	0.6199574992
672	0.6199074829
673	0.619871428
674	0.6198066765
675	0.6197506828
676	0.6196962062
677	0.6196490096
678	0.6195829818
679	0.6195354647
680	0.6194440977
681	0.6193782329
682	0.6193485842
683	0.619284639
684	0.6192161543
685	0.6191167136
686	0.6190975388
687	0.6190090289
688	0.6189384433
689	0.6188895038
690	0.6187779102
691	0.6187073843
692	0.6186505879
693	0.6185790866
694	0.6185173833
695	0.6184698386
696	0.6183870082
697	0.6183443271
698	0.6182234706
699	0.6181702957
700	0.6180897436
701	0.6179617267
702	0.6179092924
703	0.6178472441
704	0.6177844316
705	0.6177432789
706	0.6176571744
707	0.6176035684
708	0.6175806705
709	0.6175273198
710	0.617438846
711	0.6173281165
712	0.6172815834
713	0.6172218879
714	0.6171943132
715	0.617139242
716	0.617038303
717	0.6169418547
718	0.6168703901
719	0.6168220204
720	0.616757909
721	0.6166968936
722	0.616620041
723	0.616498365
724	0.6164445186
725	0.6163884551
726	0.616341683
727	0.6162775624
728	0.6162079751
729	0.6161195791
730	0.6160713128
731	0.6159927861
732	0.6159152467
733	0.6158520224
734	0.6157878631
735	0.6156953788
736	0.6156625118
737	0.6155784981
738	0.6155506801
739	0.6155068297
740	0.6154569713
741	0.6153775482
742	0.6153099182
743	0.615275972
744	0.6152194859
745	0.6151659848
746	0.6151038663
747	0.615037381
748	0.6149982211
749	0.6149577672
750	0.6149225881
751	0.6148882759
752	0.6148207123
753	0.6147418923
754	0.6146974506
755	0.6146172487
756	0.6145596449
757	0.6145118914
758	0.6144725817
759	0.6144034638
760	0.6142965032
761	0.6142101913
762	0.614146315
763	0.6140891742
764	0.613995792
765	0.6139670703
766	0.6139153689
767	0.6138571121
768	0.6137478598
769	0.6136677292
770	0.6136408027
771	0.6135973149
772	0.6135470089
773	0.6135036498
774	0.6134235979
775	0.6133653285
776	0.6132812726
777	0.6132385694
778	0.6131838234
779	0.6131320596
780	0.6130564897
781	0.6129799772
782	0.6129419609
783	0.6128888073
784	0.6128628427
785	0.6128213832
786	0.612746698
787	0.6126738621
788	0.6125569925
789	0.6124714916
790	0.6124227681
791	0.6123436441
792	0.612285686
793	0.612249336
794	0.6121659336
795	0.6121093252
796	0.6120939752
797	0.6120448064
798	0.6119729207
799	0.6118954616
800	0.6118186406
801	0.6117666592
802	0.6116840886
803	0.6115845973
804	0.6114760277
805	0.6114356266
806	0.6113327753
807	0.6112779014
808	0.6112450569
809	0.6112064929
810	0.6111340657
811	0.6110701707
812	0.6110270047
813	0.61095832
814	0.6108992362
815	0.6108336549
816	0.6108028896
817	0.6106578953
818	0.6105993637
819	0.6105263503
820	0.6104574944
821	0.6104289036
822	0.6104113228
823	0.6103411395
824	0.6102424244
825	0.6101213088
826	0.6100543924
827	0.6100348204
828	0.6099670584
829	0.6098891015
830	0.6098665525
831	0.6098534014
832	0.6097658553
833	0.6096708776
834	0.609587923
835	0.6095144588
836	0.6093960247
837	0.6093464133
838	0.6093094608
839	0.609270659
840	0.6091683936
841	0.6091380409
842	0.6091323995
843	0.6091050839
844	0.6090465491
845	0.6089847689
846	0.6089046554
847	0.6087809521
848	0.6086948296
849	0.6086216782
850	0.6085679586
851	0.6085107866
852	0.6084719866
853	0.6084273542
854	0.6083294905
855	0.6083005716
856	0.6082355147
857	0.608168899
858	0.6080958294
859	0.608062078
860	0.6079680346
861	0.6079270427
862	0.607879113
863	0.6078583302
864	0.6078120972
865	0.6077300241
866	0.6076821636
867	0.6076681405
868	0.607558638
869	0.6075180373
870	0.6074626596
871	0.6073765239
872	0.6073274608
873	0.6073009814
874	0.6072398495
875	0.6071714585
876	0.6071030399
877	0.6070336476
878	0.6069826679
879	0.6069131897
880	0.6068622134
881	0.6068216551
882	0.606773162
883	0.6067293979
884	0.6066750926
885	0.6066067586
886	0.6065574586
887	0.606461164
888	0.6064240677
889	0.6063381482
890	0.6063117455
891	0.6062645336
892	0.6062232411
893	0.6061518755
894	0.6060819647
895	0.6060325364
896	0.6059821569
897	0.6059458382
898	0.6058433114
899	0.6057595548
900	0.6057248174
901	0.6056394908
902	0.6055829543
903	0.605515599
904	0.6054331876
905	0.6053659984
906	0.6053439076
907	0.6052841133
908	0.6052237865
909	0.605143424
910	0.6050998034
911	0.6050305111
912	0.6049432702
913	0.6048611782
914	0.6047796859
915	0.6047011873
916	0.604617491
917	0.6045815907
918	0.6045586597
919	0.6045136985
920	0.6044742965
921	0.6044495884
922	0.6043919246
923	0.604316224
924	0.6042653971
925	0.6042106764
926	0.6041759718
927	0.6040937003
928	0.6040223735
929	0.6039642868
930	0.6039210753
931	0.6038373387
932	0.6037437683
933	0.6037013977
934	0.6036301965
935	0.6035903995
936	0.6035192185
937	0.603475231
938	0.603375358
939	0.6032981885
940	0.6032346521
941	0.6031772259
942	0.6031456404
943	0.603051336
944	0.6030464516
945	0.6030409107
946	0.6029732325
947	0.6029201702
948	0.6028593119
949	0.6027994703
950	0.6027516023
951	0.6026897116
952	0.6026388092
953	0.6025954664
954	0.6025454934
955	0.6024932826
956	0.6024085266
957	0.6023361287
958	0.6022461401
959	0.6021953635
960	0.6021341048
961	0.6020609512
962	0.6019910582
963	0.6019706648
964	0.6019000953
965	0.6018436564
966	0.6018110516
967	0.6017715123
968	0.6017065918
969	0.6016060627
970	0.6015488199
971	0.6014686992
972	0.6014455967
973	0.6014107158
974	0.6013714174
975	0.601317822
976	0.601277392
977	0.6012151647
978	0.6011701474
979	0.6011264816
980	0.6010508121
981	0.6010146804
982	0.600953982
983	0.6008695534
984	0.60079519
985	0.6007693795
986	0.6007001153
987	0.6006565566
988	0.600599456
989	0.6005466506
990	0.6004832155
991	0.6004287955
992	0.6003967257
993	0.6003365964
994	0.6002734314
995	0.6002442385
996	0.6002212931
997	0.6001293325
998	0.6000626539
999	0.6000129739
62513
